id,sentence,label
61aa4d8cf5e9b24159832afd,(엑스포츠뉴스 윤승재 기자) 포수 김준태가 KT 위즈 이적 후 처음으로 1군에 콜업됐다,0
61aa4d8cf5e9b24159832afe,   KBO리그 10개 구단은 4일 휴식일을 맞아 선수들 등말소를 진행했다,0
61aa4d8cf5e9b24159832aff," 이홍구(KT)와 김휘집(키움) 등 11명의 선수들이 말소되고, 김준태가 등록됐다",0
61aa4d8cf5e9b24159832b00,   김준태는 올 시즌 트레이드 마감일이었던 지난 7월 31일 내야수 오윤석과 함께 롯데 자이언츠에서 KT로 트레이드돼 유니폼을 갈아입었다,0
61aa4d8cf5e9b24159832b01," 당시 KT는 포수 뎁스 강화를 목적으로 김준태의 수비 능력과 선구안, 빠른 배트 스피드를 높이 샀다고 설명했다",1
61aa4d8cf5e9b24159832b02,   KT 이적 후 김준태는 줄곧 퓨처스리그에 있다가 이적 후 두 달 만에 1군에 콜업했다,0
61aa4d8cf5e9b24159832b03, 김준태는 9월 28일 KT 유니폼을 입고 처음으로 2군 경기에 나서 4경기를 소화한 바 있다,0
61aa4d8cf5e9b24159832b04,"   한편, 같은 날 11명의 선수들이 말소됐다",0
61aa4d8cf5e9b24159832b05, 김준태의 콜업으로 포수 이홍구가 말소됐다,0
61aa4d8df5e9b24159832b06," 롯데는 투수 김대우와 정성종, 외야수 최민재 등 3명의 선수를 말소했고, 삼성 역시 외야수 김성윤과 내야수 백승민, 투수 이승민을 내려보냈다",0
61aa4d8df5e9b24159832b07," NC 투수 김태경과 두산 내야수 신성현, LG 투수 손주영과 키움 내야수 김휘집도 함께 말소됐다",0
